gene	RVIS
GAK	-1.35
KDM2A	-1.2
ZBTB11	-1.3
BCOR	-3.03
PTBP1	-1.22
KIF13B	-1.45
RBM33	-1.14
CRTC3	-1.24
EPHB1	-1.33
NCOA3	-1.23
TSC22D1	-1.26
PTPRN	-1.39
HSP90AB1	-1.27
NEDD4L	-1.2
AHDC1	-1.1
GRIK5	-1.13
ZMYM3	-1.18
KIF5A	-1.31
DLL1	-1.1
MAP3K1	-1.24
CDK12	-1.17
TJP1	-1.78
PLEKHM1	-1.53
FBLN2	-1.09
GRM3	-1.29
STRN4	-1.29
GDPD5	-1.28
AHNAK	-2.83
MLLT4	-2.36
PXDN	-1.51
NFRKB	-2.65
CDYL	-1.57
GET4	-1.27
CDH22	-1.15
SLC8A1	-1.15
INSR	-2.14
EHMT1	-1.58
RBBP6	-2.12
SCRIB	-2.44
DGCR2	-1.17
MIER2	-1.15
NOTCH2	-1.82
COL8A1	-1.46
CNTNAP1	-2.3
ATP1A3	-1.53
LENG8	-1.08
PITPNM1	-1.01
PDE4D	-1.38
GIGYF2	-1.15
DDB1	-1.11
SCN8A	-1.75
SF3B1	-1.13
SIPA1L2	-1.31
EPHB3	-2.68
DLL4	-1.35
MDGA1	-1.13
RBM26	-1.42
TMEM131	-1.05
PDE2A	-1.09
MTA1	-1.06
DVL1	-1.17
MCM4	-1.1
SEMA4G	-1.13
TRIM28	-1.11
BEND3	-1.06
CLSTN1	-1.05
SLC7A14	-1.08
HDAC9	-1.06
CDK13	-1.08
SYT3	-1.24
CDYL2	-1.17
CHERP	-1.09
PACS1	-1.09
CLPTM1	-1.15
TPP2	-1.15
BRPF3	-1.06
ABR	-1.04
PITPNM2	-1.9
SCN5A	-1.88
DOCK2	-1.16
SCAP	-2.19
KLHL26	-1.64
KCNB2	-1.11
CDH23	-1.84
TUBB4B	-1.0
MED12	-1.0
NCOA2	-1.03
COL4A5	-1.15
UBAP2L	-1.11
IPO9	-1.29
BCL11A	-1.16
KAT2A	-1.16
UBTF	-1.16
RBM5	-1.11
SLC7A1	-1.22
TRIM71	-1.13
COL6A1	-1.49
EFTUD2	-1.15
OTUD7A	-1.15
PUM1	-1.02
CLCN4	-1.09
TNKS	-2.45
STIM2	-1.24
SLC12A6	-1.13
PTPRA	-1.09
SLC8A3	-1.06
MYO10	-1.61
MED26	-1.22
TAOK2	-2.85
SFSWAP	-0.96
