gene	RVIS
NYNRIN	-1.01
TRAK1	-1.43
NUP50	-0.76
GALE	-0.56
PLAGL2	-0.14
RSPH9	-0.14
TBXA2R	-0.14
RHOBTB2	-0.97
SEL1L3	-0.13
TTYH1	0.02
GNB2L1	-0.1
CDR2L	-0.18
SCO1	-0.18
IDI2	-0.05
SCML4	-0.05
MAGEB4	-0.16
PTGER2	-0.16
SUZ12	-0.16
ACPL2	-0.38
NFIL3	-0.03
RLF	0.08
TPST1	-0.25
MYD88	-0.34
JMJD6	-0.58
TMX1	-0.58
PLK4	-0.31
SPRY4	-0.05
SCMH1	-0.73
RIBC1	-0.41
SLC7A7	-0.71
ZNF324B	-0.71
TPRX1	-0.12
ADAMTS18	-0.09
CNOT4	0.04
DDX26B	-0.07
SAGE1	0.01
ESR2	-0.95
STAU1	-0.31
KIF5B	-0.93
EIF2S1	-0.21
RAB22A	-0.21
SPPL3	-0.21
SUV39H1	-0.21
TSC22D3	-0.21
GPR83	-0.27
GALK1	-0.84
RSBN1	-0.84
LDB2	-0.47
STOML2	-0.47
COL11A2	-1.05
DEK	-0.38
PWWP2A	0.0
BRD2	-0.02
ITIH4	-0.43
RANBP10	-0.84
TAF5	-0.56
ARRDC5	-0.36
MOV10	-1.68
ZNF7	-1.04
CRLF3	-0.47
BIN3	-0.45
C9orf171	-0.31
TNFSF11	-0.09
SYNRG	-0.7
NUMA1	-0.55
EIF5B	-0.2
MAGED1	-0.54
PCED1B	-0.54
EPB42	-0.19
EML3	-0.84
TCF7L1	0.0
RPL8	-0.21
SYPL1	-0.21
SV2A	-1.24
CDH11	0.07
IGF2BP3	-0.47
FAM49A	-0.14
NABP2	-0.14
RBBP7	-0.14
SSU72	-0.14
TIMP3	-0.14
DDX3X	-0.12
HOXB5	-0.27
PPA1	-0.27
LRCH1	0.0
PFAS	-0.51
SERPINC1	-0.05
BOD1L1	-0.63
NOS1AP	0.02
MTMR14	-0.91
CDH17	-0.3
SLC45A3	-0.53
GBX2	-0.23
LHFPL4	-0.23
ORMDL3	-0.23
RAB3A	-0.23
RBBP4	-0.23
RRAGC	-0.23
ST7	-0.25
CRTC2	-0.69
ITM2C	-0.36
MPP7	-0.82
BTG3	-0.16
PES1	-0.13
ACE	-0.57
SGK2	-0.31
RARG	-0.27
PARP14	-0.55
THBS1	-1.74
COPS7B	-0.12
PPL	-0.35
PCGF2	-0.43
LTBP2	-1.55
WT1	-0.45
ATP6V0D1	-0.36
STK33	-0.07
MMP14	0.05
SMAD1	-0.41
HLF	-0.32
BAZ1A	-0.66
MCTP1	-1.51
SMYD5	-0.05
MID2	-0.27
SLC10A3	-0.34
SCHIP1	-0.1
TMEM182	-0.1
KERA	-0.45
TRAPPC9	-1.65
GPR126	-0.17
CDCA7	-0.69
HECW1	-0.43
RGP1	-0.43
PDE7B	-0.29
RFFL	-0.16
DMRTC2	-0.51
ACTA1	-0.3
GRAMD1A	-1.02
CERS2	-0.14
TRIP10	-0.86
NEK6	-0.36
SLC6A13	-0.53
NRCAM	-1.37
CYP27B1	-0.4
DPY19L1	-0.4
GPC6	0.02
ZNF622	-0.32
CCDC97	-0.89
CNP	-0.42
CCND2	-0.19
GTF2A1	-0.19
HIST3H2A	-0.19
POMP	-0.19
FBXW4	-0.63
GJA5	-0.63
ACAT1	-0.54
AP3M2	-0.54
ELF5	-0.54
PYCRL	-0.02
CAPN10	-0.33
GYS1	-1.18
SMOC2	-0.53
DRD3	-0.36
MAP3K9	-1.55
PVRL4	-0.33
RSL1D1	-0.11
SLC4A7	-0.97
RSPRY1	-0.29
C1QTNF3	-0.07
RAB3IL1	-0.4
SIRT4	-0.09
SLC22A8	-0.33
MICALL1	-0.79
PPP6R3	0.04
BACH1	-0.33
KIAA2018	-0.71
PROSER1	-0.17
GKN1	-0.18
TASP1	-0.18
SLC4A5	-1.55
SYNPO2	-0.23
RPUSD1	-0.24
AFG3L2	-0.6
FAM53B	-0.35
MAPK12	-0.35
RGMA	-0.64
FAXC	-0.07
HDHD2	-0.07
SSTR1	-0.07
C15orf52	-0.24
CDC25A	-0.29
FZD9	-0.34
LSM14B	-0.34
HOMER1	-0.25
MBNL3	-0.25
TMBIM6	-0.25
MYO16	0.06
PEG10	-0.27
HDAC1	-0.69
INTS7	-0.51
CEP350	0.08
SNX17	0.04
ZBTB17	-0.69
PPP2R5E	-0.41
TMEM150A	-0.43
HSDL1	-0.51
GGA1	-1.11
UBP1	-0.23
KCTD16	-0.07
TTC26	-0.07
DOK1	-0.69
FER	-0.44
INSIG2	-0.21
MPZ	-0.21
RAB24	-0.21
TGIF2	-0.21
DNAJC14	-0.34
LRP12	-0.6
HIF3A	-0.33
ATAD2	-0.93
ZNF777	-0.02
NDRG3	-0.6
NDUFS4	-0.6
RASGRF2	-1.26
SELO	-0.64
ISL1	-0.36
PLBD2	-0.27
SERPINE1	-0.27
ADAR	-0.64
CCDC120	-0.03
CD320	0.0
PELI3	0.0
ZNF202	-0.2
MGLL	-0.25
SLC35B4	-0.25
TIMM21	-0.25
ZBTB6	-0.25
GMDS	-0.3
GPR52	-0.3
TADA2B	-0.3
PER1	-1.89
DOPEY2	-3.65
ALS2CL	-0.92
PIAS2	-0.43
NARFL	-0.11
C1orf172	-0.07
HIST1H2AJ	-0.14
INSIG1	-0.14
SMU1	-0.14
TUBB	-0.14
ATP6V1C1	-0.52
HMHA1	0.01
PAK7	-0.22
PCDH11X	-0.22
TRPC6	-1.29
SMG6	-0.16
LRRC32	-1.21
ETS2	-0.05
ARRDC3	-0.1
GPN3	-0.38
TESC	-0.21
CNDP2	-0.75
KPNA3	-0.12
PPP1R8	-0.12
SRF	-0.12
C15orf26	-0.65
CRLF1	-0.65
CHL1	-0.16
CYP26B1	0.0
PDIA3	-0.51
SLC13A3	-0.82
BAIAP2	-1.4
MKNK2	-0.58
VASN	0.05
DDX21	-0.4
MTMR1	-0.09
RGS19	-0.07
PPP4R1	0.09
HHIP	0.02
XRN2	-0.57
SLC35C1	-0.01
ITGA2B	-0.33
SESN2	-0.67
FAM20B	-0.12
TMEM248	-0.47
RORC	0.04
DNAJB6	-0.14
PRELID1	-0.16
SPI1	-0.16
KANSL1	-0.32
NR3C1	-0.16
GK5	-0.58
FGF21	-0.34
SF3B3	-1.02
TMEM214	-0.46
ATOH1	-0.11
TBC1D10B	-0.03
MED22	-0.07
GREB1	-0.05
ALDOC	-0.58
LRIT1	-0.26
BEND7	-0.33
ANLN	-1.15
ARFGEF2	-2.39
SPEG	-0.06
ANTXR1	-0.91
UGT1A10	-0.48
TADA3	-0.71
ABCB11	-1.14
DBNL	-0.02
DCAF4L2	0.0
CNTNAP2	-2.25
COX7A2L	-0.23
CTDSP2	-0.23
GULP1	-0.23
IL2RG	-0.23
ACVR1	-0.51
NOB1	-0.15
ABCF3	-0.77
FYB	-0.18
FMR1NB	-0.16
NAA30	-0.16
RPL7A	-0.16
ENAH	-0.62
SNRNP40	-0.36
DPP8	-0.78
RNF44	-0.18
PPARG	-0.31
NARS	-0.51
OSBPL8	-0.51
DCN	-0.05
TYW1	-1.17
LRRC59	-0.34
ID2	-0.19
ISY1-RAB43	-0.19
RPL10A	-0.19
SLC2A12	-1.15
ARL4D	-0.27
HDAC8	-0.27
MAPRE3	-0.27
MESDC2	-0.27
OSTF1	-0.27
TMEM55B	-0.27
PDGFRA	-0.64
USP1	-0.64
NBEAL2	-3.12
SEMA3D	-0.26
CRKL	-0.32
NAA60	-0.23
OLA1	-0.23
ERCC6L	-0.18
FAM50B	0.02
TFAP2D	0.02
LCAT	-0.29
TBRG4	-0.44
ESCO1	-0.24
IFNA14	-0.38
EVL	-0.36
YIF1B	-0.36
CTNNA1	-0.84
HOXA3	-0.01
KCNS2	-0.01
PPAT	-0.01
GPCPD1	-0.2
SOHLH1	0.07
RPL17	-0.1
RPS7	-0.1
ITGA9	-1.1
PACSIN2	0.04
CTNNBL1	-0.76
TUT1	-0.84
SLC25A33	-0.18
SLC32A1	-0.03
HIST1H3E	-0.6
PEF1	-0.27
ZDHHC23	-0.36
SLC2A5	-0.2
TBX4	-0.58
PIP4K2C	-0.45
IL17B	-0.52
NSUN2	-1.0
GPR133	-0.23
HIPK4	-0.08
LPAR3	-0.18
DYNLT1	-0.12
NAA25	-0.11
ABHD2	-0.03
HDX	-0.03
TIMM44	0.09
ZBTB4	-0.1
OPA1	-0.57
TMEM192	-0.47
AP4M1	-1.18
NFE2L2	0.04
SEMA5B	-0.45
SRP54	-0.38
EPS8L1	0.0
SLC16A1	-0.07
PLCL1	-0.24
NTRK1	-0.06
DUSP10	-0.49
MSR1	0.0
CD163	-0.11
GUSB	-0.82
PPP1R7	-0.09
CNKSR2	-0.47
CNTFR	-0.82
PTPN3	-1.17
CARHSP1	-0.78
CNOT7	-0.14
COPS2	-0.14
SLC25A14	-0.14
SYT12	-0.31
PPP2R4	-0.01
KLHDC8A	-1.11
MMP16	-0.38
ADD1	-0.93
ITGA4	-0.62
SYT11	-0.25
POLD1	-0.83
GCM1	-0.09
SNX4	-0.58
STX4	-0.58
PLEKHO1	-0.47
KAT7	-0.05
CHN1	-0.54
MYF5	-0.54
PPP2R5B	-0.54
TP53I11	-0.27
CBY1	-0.21
PPTC7	-0.21
PRPF38A	-0.21
SNRPN	-0.21
TMEM11	-0.21
PTDSS1	-0.36
TBCCD1	-0.93
LRCH3	-0.53
PCDHGC4	-0.53
BMPR1A	-0.4
CFDP1	-0.12
GPR143	0.02
PVRL3	0.02
RBM12B	-0.53
ZSWIM5	-0.73
PPIE	-0.43
KLHL17	-2.65
GSS	-0.56
UGT1A1	-0.56
ABHD13	-0.32
CCND1	-0.32
RAB5A	-0.32
RSRC2	-0.32
BLK	-0.35
RICTOR	-0.28
CPE	-0.05
NGRN	-0.05
OR4D11	-0.05
ZNF624	-0.29
ZBTB10	-0.16
ADAM12	0.01
HIST1H3C	-0.25
KLHDC10	-0.25
NKAP	-0.25
PRM2	-0.25
RANBP1	-0.25
TEF	-0.25
MKRN3	-1.13
PLTP	-0.44
CHST14	-0.14
KPNA4	-0.14
RAD51	-0.14
TFDP2	-0.14
TRAM1	-0.14
FIBP	-0.73
GPM6A	-0.16
KCTD4	-0.16
NKAIN2	-0.16
RAB35	-0.16
RPS11	-0.16
ZNF32	-0.16
DHX40	-0.8
TMEM62	-0.8
ZFYVE9	0.14
HOXD4	-0.21
HYAL1	0.11
WASF3	0.11
PAX2	-0.34
TARBP2	-0.34
LRRN2	-0.28
MORC4	-0.36
CYP1A2	-0.6
MOB2	-0.45
GSK3B	-0.29
CEP97	-0.6
SSTR3	0.03
POLR1D	-0.32
EMILIN3	-0.59
NOTUM	-0.47
HNRNPC	-0.08
NASP	-0.18
BCL2L11	-0.25
TMEM63C	-0.71
ABHD8	-0.2
ZNF408	-1.02
ISLR	-0.64
TMEM87B	-0.89
MARK2	-0.71
ITPRIP	-0.55
ZNF816-ZNF321P	-0.16
PAF1	-0.29
PPP1CA	-0.36
ABCG4	-0.07
DPYS	-1.04
QSOX2	-0.06
UBAC1	-0.02
SLC24A2	-0.51
MKRN1	0.04
AZGP1	-0.56
C1QTNF7	-0.56
SLC26A9	-0.14
CDC42	-0.1
UBE2I	-0.1
HPCAL1	-0.07
PIP5K1A	-0.51
GRM2	-0.35
EDEM1	-0.96
VPS53	-1.22
APBA1	-1.44
HELLS	0.02
KCNQ1	-0.69
TXNRD1	-0.87
TRAPPC6A	-0.05
CLOCK	-0.53
FAM193A	0.19
ARAP2	-0.18
BAZ2B	-1.42
UNC5D	-0.69
LYNX1	-0.27
NADK	-0.11
ZNF490	-0.36
DOCK6	-0.94
MIB2	-0.03
KCTD3	-0.67
BACE1	-0.76
LGI4	0.0
EML1	-0.42
LBX1	-0.3
ITK	-0.22
SLC17A6	-0.22
BCL7C	-0.19
CLDN11	-0.19
POLR3K	-0.19
PPP2CB	-0.19
SORCS2	-0.41
PRSS53	-0.69
HAUS7	-0.05
ZNF48	-0.51
UBE4B	-1.39
SGCA	-0.71
ZNF19	-0.07
FAM78A	-0.43
SF3A3	-0.43
NUCKS1	-0.12
RQCD1	-0.12
SETD1B	0.2
IPP	-0.53
TRAF4	-0.4
SLC6A20	-0.53
PPARGC1A	-0.11
PPM1L	0.02
RABL6	-0.28
FBXO30	-0.27
HIST1H2AL	-0.23
MSN	-0.23
SNX6	-0.23
SSR3	-0.23
AKR1C2	-0.09
DHDDS	-0.09
WNT11	-0.09
KCTD21	-0.54
RNF8	-0.54
DUSP26	-0.29
ARHGAP20	-0.39
ADAMTS17	-2.27
CCNB1	-0.18
LCMT1	-0.49
TBX18	-0.4
C2	-0.07
MAN1A2	0.02
PRDM14	0.02
DERA	-0.43
CXCR6	-0.27
KIAA0895	-0.09
GLP1R	0.13
BMPR2	-0.93
MAF1	-0.12
MIS12	-0.12
CACNB1	-0.56
MITF	-0.56
ZNF213	-0.56
NCAPH	-0.31
IMPDH2	-0.65
STC1	-0.14
HIATL1	-0.31
MEF2A	-0.31
ZDHHC7	-0.31
KLHL9	-0.25
P2RY8	-0.25
SPTLC2	-0.25
FAM210A	-0.23
HAUS3	-0.02
DCUN1D3	-0.45
COG4	-1.0
YOD1	-0.36
KIF18A	0.07
COL3A1	-0.23
GFPT2	-0.82
BEND6	-0.34
CAPN5	-0.9
FBXL12	-0.18
SS18	-0.12
CHRDL1	-0.01
RNF19A	-0.82
PTPN5	-0.6
PSD3	0.1
ADAM9	-0.2
GPBP1L1	-0.98
DNAJA2	-0.32
ING3	-0.32
GRHL1	-0.11
PLK3	-1.11
LPPR5	-0.38
GIPC3	-0.14
GNPAT	-0.2
HAUS8	-0.2
LRRTM1	0.11
AKAP1	0.19
ZGPAT	-0.71
GDAP1L1	-0.16
THEG	-0.13
GDPD2	0.06
AKT2	-0.65
RAB9B	-0.08
RAN	-0.08
NMNAT2	-0.03
D2HGDH	-0.06
ME3	-0.82
CELF3	-0.05
FAM57B	-0.41
NCAPD3	-0.37
ARHGAP22	-0.4
RBP3	-0.96
MMRN2	-0.51
SCN3B	-0.27
TP63	-0.91
RAB3IP	-0.49
HERPUD1	-0.14
ARHGAP15	-0.62
SHROOM1	-1.24
PRMT7	-1.9
HGF	-0.42
ELL2	0.11
CAPZB	-0.16
COPS4	-0.16
DLX6	-0.16
LMO1	-0.16
RAC1	-0.16
RBM18	-0.16
RCBTB1	-0.58
F9	-0.03
PGGT1B	-0.03
GPBP1	0.04
IL17C	-0.33
AADACL4	-0.62
FBXO32	-0.05
LITAF	-0.05
PPP1R12B	-0.86
DNAJB8	-0.38
TESK1	-0.38
CCR4	-0.29
ANKRD13C	-0.4
LPCAT4	-0.4
CPNE7	-1.34
CES4A	-0.31
PDXK	-0.31
GSPT2	-0.07
CLDN9	-0.82
TNS3	0.13
DTD1	-0.21
GPR85	-0.21
RAB12	-0.21
SYBU	-0.2
SLC27A2	-0.49
MYH2	-2.09
PNMAL1	0.02
RER1	-0.1
HNF4G	-0.03
KLK12	-0.03
ASIC1	-0.49
SMYD1	-0.2
FAM65A	-0.68
SLC2A13	-0.63
PLRG1	-0.29
ZNF362	0.04
SLC25A10	-0.45
KHDRBS3	-0.6
MKL1	-0.53
FAM98A	0.13
MOSPD2	-0.16
PDGFA	-0.16
STRAP	-0.16
RPL7L1	-0.54
NEMF	-1.7
CCDC47	-0.62
PTBP3	-0.62
FAR2	-0.84
GPR32	0.11
UNC13C	-1.67
NMT2	-0.21
CXorf23	-0.07
MAGEA3	-0.07
SERPINB9	-0.6
ZNF394	-0.11
CLVS1	-0.49
ISL2	-0.49
RNF121	-0.49
PRKD3	0.14
TOX	-0.62
ELAVL4	-0.1
CDK17	-0.51
NR1D2	0.09
RRAD	-0.36
PDE4B	-0.69
NUPL1	-0.22
PROKR2	-0.22
SLC5A2	-0.86
C17orf49	-0.12
CACNG3	-0.12
COPS5	-0.12
DDX39B	-0.12
ANKRD13A	-0.6
ASPRV1	-0.25
SRRM4	0.11
PPEF1	-0.16
PRSS23	0.04
DPEP2	-0.18
EDNRA	-0.38
C15orf38-AP3S2	-0.87
SLAIN1	-0.32
DDX49	-0.18
ATG7	-0.51
SNX30	-0.45
PAK1	-0.6
ORC5	-0.67
LUC7L3	0.02
DNAJB14	-0.29
FAIM2	-0.29
P4HA1	-0.29
LOXL4	-0.37
CCT2	-0.63
HYOU1	-1.84
ADCY6	-1.19
ZNF281	-0.4
RRP1B	-0.35
LTN1	0.26
CCNT2	-0.89
NDST3	-1.0
BTK	-0.12
GJC1	-0.12
MAL	-0.12
PSMC6	-0.12
PURG	-0.12
TGFB1	-0.12
ANKRD27	-1.56
FOXI1	-0.45
RNF150	-0.45
HABP4	-0.56
PLEKHF1	-0.56
GALNT13	-0.18
MYNN	-0.31
GLI1	-0.88
ENPP6	-0.35
FRG1	-0.25
SRSF2	-0.25
TMEM179	-0.25
VCL	-1.79
EIF4A2	-0.21
CLCN5	0.02
HSF5	0.02
MX2	-0.35
TBK1	-0.29
TGM3	-0.21
PIN1	-0.03
RGS7BP	-0.03
RHOXF1	-0.03
UCHL5	-0.03
C11orf24	0.16
CDK19	-0.23
TRPV4	-1.3
SIGLEC7	-0.6
GPHN	0.06
INSRR	-2.25
TGFBR1	-0.27
CYR61	-0.12
SAE1	-0.38
GSR	-0.36
AMIGO1	0.04
GPA33	0.13
SLC2A4	-0.18
MAML2	0.21
DHCR7	-0.86
CD300LG	-0.29
SLC52A3	0.09
PCDHAC2	-0.75
MYBPC3	-0.53
RBP4	-0.47
SGSM2	-0.74
C1orf51	-0.25
OSM	-0.25
CBS	-0.8
KBTBD4	-0.65
FAM168B	-0.19
PIM2	-0.19
C9orf78	-0.14
DERL2	-0.14
EBP	-0.14
RCN2	-0.14
UBE2G2	-0.14
AFTPH	0.18
USP39	-0.58
GDF11	-0.05
MSL1	-0.05
RAC3	-0.05
RRAGD	-0.05
FBL	-0.03
NEK8	-1.24
INTS9	-0.82
CSRP2BP	-0.02
ANKRD10	0.04
FDFT1	-1.13
VAC14	-1.15
DNAJC3	-0.47
FAM49B	-0.08
LRRC57	-0.08
PAFAH1B2	-0.08
FAM193B	0.16
P2RX1	-0.49
ARFIP2	-0.43
PAIP1	-0.43
PHF10	-0.43
TMEM189	-0.43
WDR61	-0.43
GNAL	-0.3
PHKG1	-1.42
ZNF584	-0.27
DDIT4	-0.32
NAP1L5	-0.32
RUNDC3A	-0.32
PNPLA6	-1.14
THRA	-0.56
C1QB	-0.05
FOS	-0.05
TNFRSF1A	0.08
ABCB1	0.1
EEF1A1	-0.27
DNAI1	-0.31
MED24	-1.41
SH3GLB2	0.17
CBX8	0.0
SEMA4D	0.12
ACVR2A	-0.34
CSNK2A1	-0.34
AMDHD2	-0.2
KCNV2	-0.84
CD97	-1.1
ARFRP1	-0.14
TEX29	-0.14
SLITRK6	-0.78
ACSL3	0.13
ZNF385A	-0.54
EDIL3	-0.43
GPT2	-0.43
NFS1	-0.43
RBM46	-0.43
SAV1	-0.29
GUCY1B3	-0.56
FUT5	0.11
IL1R1	0.09
FAM65C	-0.72
ZNF786	-0.84
COX4I1	-0.07
KLF6	-0.07
NAPB	-0.07
TPM4	-0.07
ALX4	-0.45
ICAM5	-0.2
SEC14L1	-0.62
GRIA4	-1.09
KLHL23	-0.54
CBLN2	-0.1
HPCA	-0.1
ISY1	-0.1
KDELR1	-0.1
PPP1CB	-0.1
SNX10	-0.1
ZSWIM6	0.19
FMNL3	-1.02
PPM1G	-0.27
PPP4R4	-1.09
ZFP3	-0.36
ZNF10	-0.36
TCEA2	-0.34
CDK8	-0.25
FBXO25	-0.16
FIGNL1	0.09
NARF	-1.15
KIAA1598	-0.45
MSRB3	-0.45
ZNF564	-0.47
PIGO	-1.35
ZNF280B	0.13
C20orf24	-0.23
CLTB	-0.23
COA1	-0.23
MPPED2	-0.23
RND3	-0.23
VDAC2	-0.23
ZDHHC22	-0.23
NDE1	-0.82
ARFGAP1	-0.11
NCF4	-0.78
TCF7L2	-0.22
SOWAHB	-0.29
OLFM3	-0.76
AAGAB	0.02
BNIP2	-0.34
TMEM246	-0.36
GORASP2	-0.27
GPR45	-0.27
GZMK	-0.27
HSF4	-0.27
SOHLH2	0.11
REV1	0.06
DPEP1	-0.77
CRHBP	-0.1
MTF2	-0.56
B3GALNT1	-0.25
PPP6C	-0.25
OR1J4	-0.38
DROSHA	-0.46
ABCF2	-0.47
RTN1	0.13
PTDSS2	-0.2
CDK5	-0.03
NAA10	-0.03
CLPTM1L	-0.6
ARMCX1	-0.41
KIN	-0.41
PFKP	-2.63
CDH5	-1.06
CYSLTR1	-0.23
NRD1	-1.04
RIMS2	-0.59
MIOX	-0.2
MAN2A2	-1.45
GPR137	-0.42
RUNDC3B	-0.52
ANP32B	-0.16
CALB1	-0.16
CDO1	-0.16
KRTCAP2	-0.16
RPP25L	-0.16
TIAL1	-0.16
TYMS	-0.16
NTN4	-0.26
OCRL	-0.25
FNBP1	-0.16
EEA1	-0.55
MAP4K3	-0.51
NEUROD6	-0.27
CTLA4	-0.01
FAM50A	-0.01
TAF15	-0.78
ELF3	0.04
NPEPPS	0.04
SYNDIG1	0.04
SPATA20	-0.59
PREX2	-0.67
RFWD2	-0.21
ARR3	-0.23
NANP	-0.4
HIPK3	-0.73
BCAS3	-0.75
RASGRP4	-0.04
CCRN4L	0.06
RNF128	0.06
GNB4	-0.03
GSPT1	-0.03
ZFP1	-0.31
RAB4A	-0.12
RPS14	-0.12
SAP18	-0.12
TMED2	-0.12
TOMM22	-0.12
ZDHHC9	-0.12
ZFAND5	-0.12
ATP6V1H	-0.73
B3GNT7	-0.05
PIGQ	0.08
NGF	0.11
VAMP2	-0.05
ZFP36L1	-0.05
SPACA1	-0.29
ABAT	-0.33
NMD3	-0.51
WNT2	-0.2
CDC23	-0.01
FBP1	-0.01
FGF14	-0.01
KCNIP3	-0.01
PODXL2	0.06
HRAS	-0.34
KCTD13	-0.34
PPIB	-0.34
GABRQ	-0.76
OAT	-0.76
RAPGEFL1	-0.76
CALB2	-0.27
STUB1	-0.27
KIAA0368	-0.03
DNAJC13	0.17
HINFP	0.18
HIBADH	-0.43
SLC35G1	-0.43
CDK9	-0.58
HIST1H2AD	-0.58
GPR20	-0.31
GNPTG	-0.33
CHPT1	-0.03
PIP4K2A	-0.03
SLC22A6	-0.49
ANGPT2	-0.42
OSBPL10	-0.77
CSTF1	-0.71
CCDC155	-0.18
MCU	-0.12
PLLP	-0.12
PNPO	-0.12
RHCG	-0.44
KTN1	-0.94
SLC24A1	-0.57
GDA	0.02
GPR137C	-0.32
HBP1	-0.32
KCNA10	-0.35
MFSD11	-0.65
DSCR3	-0.27
PPAP2A	-0.25
MORF4L1	-0.05
PQLC3	-0.05
SRSF9	-0.05
ANGPT1	-0.34
CLK1	-0.34
BAG3	0.11
SV2C	-0.24
CADM1	-0.14
ABCC1	-0.84
PDGFC	0.04
PLOD1	-0.66
DAPP1	-0.08
SCML1	-0.08
YWHAE	-0.08
WDR59	-1.26
SSH2	-0.1
GGA3	-0.64
LAMB1	-0.99
TLR3	-0.24
FPR2	-0.31
BNIP1	-0.12
BNIP3L	-0.21
BTG2	-0.21
BUB3	-0.21
C8orf46	-0.21
CD3D	-0.21
ELOVL6	-0.21
HMGB1	-0.21
INO80B	-0.21
MOB1B	-0.21
ERMP1	-1.04
SMARCA1	-0.38
CLU	0.16
IFNAR2	0.16
WDR6	-1.43
MYL3	-0.38
HOXD10	-0.05
WASF1	-0.05
FOXN4	-0.14
FRMD5	0.13
AAMP	0.04
INPP5K	-0.07
SKP2	-0.69
HDAC6	0.07
IQCJ-SCHIP1	0.06
MBTD1	0.06
TRIM29	-0.06
NFX1	-1.59
NTF3	-0.07
C19orf54	-0.47
HRH3	-0.38
RABEP2	-0.69
PGPEP1	-0.21
UNC13B	-2.89
NFE2	-0.27
SNRPB	-0.27
ZNF791	-0.63
MTNR1A	0.22
METRNL	-0.09
PPP6R1	0.12
MYO9A	-0.7
HAS3	-0.55
GXYLT2	0.06
TFAP4	0.08
GPC4	-0.07
TNFRSF6B	-0.38
TSSK6	-0.3
DBN1	-0.09
SRSF11	-0.41
DGKG	-1.52
C2CD2	-0.95
UBR1	-0.63
SRSF4	0.06
ARF6	-0.14
ENOPH1	-0.14
HIST1H2AI	-0.14
LAMTOR1	-0.14
RWDD1	-0.14
SYP	-0.14
TSPAN13	-0.14
UBE2Z	-0.14
CCNF	-1.22
FHOD1	-1.21
CDH16	-0.95
PKP4	-1.08
CACNG4	-0.18
HOMER3	-0.18
FBXL3	-0.32
P2RY1	-0.32
SLC25A22	0.13
CYP19A1	-0.56
KDELC1	-0.09
MYEF2	-0.07
GPAM	-0.24
CHAF1A	0.32
MFAP4	-0.47
CHCHD3	0.01
PBX1	0.01
TSNAX	0.01
ZSCAN2	-1.19
GTPBP4	0.2
DCX	-0.1
MBD2	-0.1
PSMA4	-0.1
RBM3	-0.1
ATAD2B	0.25
SLC39A8	0.17
SYNPR	-0.29
TBC1D13	-0.29
USP21	-0.29
INTS12	-0.4
SERPINE2	-0.4
CSRNP3	-0.18
LMCD1	-0.18
GRN	-0.46
MBNL1	-0.45
LRWD1	0.03
LHFPL5	-0.34
CPXM1	-1.17
PADI1	-0.46
MAML1	0.23
SFXN5	-0.78
HBEGF	-0.01
IRF1	-0.01
TOP1	-0.38
C16orf62	-1.21
CBX4	0.11
VSIG8	0.11
CNTROB	-0.01
PDLIM1	-0.32
PSMD12	-0.32
SUCNR1	-0.32
DMTF1	-0.11
CTHRC1	-0.14
DMC1	-0.14
EFHD1	-0.14
FAM122A	-0.14
TMEM91	-0.14
AQP2	-0.52
ARPP21	-0.18
LPIN1	-1.19
ATPAF2	-0.29
ST3GAL3	-0.36
ESRRB	0.18
GFI1B	0.22
KCTD19	-0.42
ACTR1A	-0.36
KCTD2	-0.36
EXOC8	-0.49
CD164	-0.1
CENPM	-0.1
GLRA2	-0.1
RASL11B	-0.1
PLK2	-0.38
MMD2	-0.63
MYOZ1	-0.63
PGM1	-0.22
MSI1	-0.16
KCTD14	-0.31
CCNE2	-0.01
CCNG1	-0.01
CRADD	-0.01
FTSJ1	-0.01
RSPO2	-0.01
RHPN2	0.0
EIF4H	-0.03
KCNE4	-0.03
STK17B	-0.03
ZC4H2	-0.03
CENPI	0.02
WIPF2	0.02
FOXB1	-0.19
PRKAR2B	-0.19
ABTB1	-0.95
MAS1	-0.78
ZNF623	0.15
GNAS	-0.02
DUSP12	-0.14
SENP2	-0.14
PSME3	-0.05
TRA2B	-0.05
ZNF354A	-0.31
UAP1L1	-0.22
SYT9	-0.07
EDN3	-0.36
LATS1	-0.02
GPR61	-0.47
KDM4C	-0.34
POLR1B	-0.75
FAHD2A	-0.67
CKM	-0.11
GAD2	-0.11
DNASE1L1	-0.03
FAM46D	-0.03
PTRF	-0.03
KLHL28	0.2
TMEM109	-0.18
ZKSCAN4	-0.53
CACNA1S	-1.21
ADH1A	-0.45
AARS	-0.66
ERBB3	-0.66
SPRY2	0.08
ARPC5	-0.25
MRPL42	-0.25
NDUFAF3	-0.25
RIC8A	-0.11
ASGR2	-0.36
C1S	-0.04
ACAA1	0.06
FCHO2	0.06
PCED1A	0.06
PAG1	-0.67
UTRN	-1.55
PRKCQ	-0.38
ASUN	-0.2
EIF3L	-0.76
C6orf89	0.13
TNFRSF14	0.13
DEDD	-0.05
GPM6B	-0.05
RNF208	-0.05
LMLN	-0.49
COL11A1	-0.36
NDST4	-0.04
EMILIN1	-0.11
GP5	-0.03
OR2B6	-0.03
ZNF800	-0.03
CRBN	-0.58
CH25H	-0.3
SIX1	-0.3
ADCY2	0.12
NIPAL4	0.13
EPB41L2	-0.99
LMOD1	0.18
LRPPRC	-1.65
CHUK	-0.2
TPBG	-0.2
ATXN7	0.21
